type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorialThird,35.8,20.8,43.4,5,66-70,29.4,23.5,47.1,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,71-75,17.9,7.1,75.0,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,76-80,43.1,13.8,43.1,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,81-85,22.0,29.3,48.7,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,86-90,38.9,33.7,27.4,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,0-15,37.7,18.5,43.8,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,16-30,28.4,26.1,45.5,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,31-45,36.5,20.8,42.7,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,46-60,36.5,13.5,50.0,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,61-75,38.9,16.7,44.4,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,15,76-90,36.6,26.8,36.6,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,45,0-45,34.4,21.6,44.0,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,45,46-90,37.1,20.0,42.9,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
ballPossession,47.0,53.0,NaN,5,0-5,22.4,77.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,6-10,38.1,61.9,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,11-15,18.2,81.8,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,16-20,46.6,53.4,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,21-25,41.4,58.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,26-30,48.6,51.4,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
