contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649706789,804,15,2,85,38,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,83.9,29.7,2024-02-23T19:42:24.423,2024-02-23T19:43:36,"{""id"": 4826325635, ""qualifierId"": 321, ""value"": ""0.029788227751851082""}",1.0,4826325635,321,0.029788227751851082,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653186375,37,13,1,2,57,J. Pedersen,7165hb1x2ygl2j5weox7hy6i2,1,78.1,40.6,2024-03-02T12:04:30.102,2024-03-02T13:06:24,"{""id"": 4845078501, ""qualifierId"": 321, ""value"": ""0.017529206350445747""}",NaN,4845078501,321,0.017529206350445747,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653187471,45,15,1,4,21,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,86.7,68.7,2024-03-02T12:05:54.710,2024-03-02T12:07:36,"{""id"": 4845063029, ""qualifierId"": 321, ""value"": ""0.031603097915649414""}",1.0,4845063029,321,0.031603097915649414,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653190355,81,13,1,7,54,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,77.9,49.1,2024-03-02T12:09:27.455,2024-03-02T12:10:39,"{""id"": 4845075591, ""qualifierId"": 321, ""value"": ""0.04845310002565384""}",1.0,4845075591,321,0.04845310002565384,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653192655,113,15,1,10,41,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,94.8,35.7,2024-03-02T12:12:14.455,2024-03-02T12:15:17,"{""id"": 4845094369, ""qualifierId"": 321, ""value"": ""0.08520598709583282""}",1.0,4845094369,321,0.08520598709583282,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653200239,200,15,1,21,7,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,87.8,57.3,2024-03-02T12:22:40.540,2024-03-02T12:26:05,"{""id"": 4845133989, ""qualifierId"": 321, ""value"": ""0.0839744582772255""}",1.0,4845133989,321,0.0839744582772255,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653214531,361,15,1,42,33,V. Rasmussen,dwuxps3jv2852642q000wep6,1,89.6,70.9,2024-03-02T12:44:05.865,2024-03-02T12:45:25,"{""id"": 4845200405, ""qualifierId"": 321, ""value"": ""0.034374091774225235""}",1.0,4845200405,321,0.034374091774225235,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653242189,516,15,2,57,38,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,93.7,58.5,2024-03-02T13:18:44.331,2024-03-02T13:21:12,"{""id"": 4845355297, ""qualifierId"": 321, ""value"": ""0.2109660655260086""}",NaN,4845355297,321,0.2109660655260086,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653242279,517,16,2,57,41,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,98.3,50.0,2024-03-02T13:18:47.308,2024-03-02T13:20:32,"{""id"": 4845350985, ""qualifierId"": 321, ""value"": ""0.8664220571517944""}",NaN,4845350985,321,0.8664220571517944,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Goal,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653262639,609,16,2,76,33,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,95.1,57.3,2024-03-02T13:37:39.475,2024-03-02T13:39:10,"{""id"": 4845458765, ""qualifierId"": 321, ""value"": ""0.07926329225301743""}",1.0,4845458765,321,0.07926329225301743,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Goal,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2653270753,645,16,2,83,39,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,95.4,46.8,2024-03-02T13:44:45.650,2024-03-02T13:46:21,"{""id"": 4845502695, ""qualifierId"": 321, ""value"": ""0.3088545799255371""}",1.0,4845502695,321,0.3088545799255371,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Goal,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653259195,646,13,2,73,55,V. Rasmussen,dwuxps3jv2852642q000wep6,1,89.9,36.6,2024-03-02T13:35:01.628,2024-03-02T13:36:15,"{""id"": 4845439323, ""qualifierId"": 321, ""value"": ""0.09279201179742813""}",NaN,4845439323,321,0.09279201179742813,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653264753,677,15,2,78,28,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,86.7,40.9,2024-03-02T13:39:34.292,2024-03-02T13:42:25,"{""id"": 4845477971, ""qualifierId"": 321, ""value"": ""0.11719311028718948""}",NaN,4845477971,321,0.11719311028718948,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653265729,685,13,2,79,21,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,93.7,46.4,2024-03-02T13:40:27.517,2024-03-02T14:12:20,"{""id"": 4845474089, ""qualifierId"": 321, ""value"": ""0.014605214819312096""}",1.0,4845474089,321,0.014605214819312096,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653274693,733,13,2,87,10,R. Gyamfi,efubck8twu1elbhlomltnjjtg,1,84.2,76.5,2024-03-02T13:48:16.831,2024-03-02T13:49:30,"{""id"": 4845521111, ""qualifierId"": 321, ""value"": ""0.02996414341032505""}",1.0,4845521111,321,0.02996414341032505,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653277117,754,15,2,89,30,R. Gyamfi,efubck8twu1elbhlomltnjjtg,1,78.2,59.3,2024-03-02T13:50:37.159,2024-03-02T13:51:53,"{""id"": 4845533609, ""qualifierId"": 321, ""value"": ""0.04824255406856537""}",1.0,4845533609,321,0.04824255406856537,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Attempt Saved,Expected Goals
b2vft81kyjurzbmekvgrqwr64,Hobro,2653282115,800,13,2,95,13,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,85.6,26.8,2024-03-02T13:56:20.152,2024-03-02T13:57:42,"{""id"": 4845559447, ""qualifierId"": 321, ""value"": ""0.05541812628507614""}",1.0,4845559447,321,0.05541812628507614,a4y8t8tf4o39mojb8qpzdo1ec,Kolding vs Hobro,2024-03-02,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656116985,77,16,1,7,53,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,94.2,50.6,2024-03-08T18:07:21.800,2024-03-08T18:08:52,"{""id"": 4860866247, ""qualifierId"": 321, ""value"": ""0.3666638731956482""}",1.0,4860866247,321,0.3666638731956482,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Goal,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2656132673,213,13,1,28,54,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,85.6,44.6,2024-03-08T18:28:22.318,2024-03-08T18:29:43,"{""id"": 4860948659, ""qualifierId"": 321, ""value"": ""0.1435101479291916""}",1.0,4860948659,321,0.1435101479291916,a5per55g3pzayog402aocgh04,Helsingør vs Kolding,2024-03-08,Miss,Expected Goals
